AMS,PVG
HKG,SGN
ADD,GRU
MEL,DFW
HRG,MNL
DEL,JFK
SCL,DOH
BCN,HND
CBR,PEK
BOG,EZE
MEX,EWR
CDG,BOS
TPE,CGK
CAI,CKG
ADD,KUL
YYZ,CBR
CMN,CGK
DEL,SFO
BSB,LAS
BSB,MCO
GRU,SFO
DEL,HGH
SVO,IST
LOS,MIA
SCL,XIY
LGW,HKG
DMK,DOH
JED,SDU
ALG,HKG
SIN,CKG
CPT,JNB
PVG,CLT
MAD,TPE
HND,SGN
ATL,NBO
JNB,IAH
SCL,HGH
SIN,ADL
ADD,ORD
AKL,SDU
CDG,PVG
LGW,BKK
AMS,KUL
JED,LAS
HND,NBO
LIM,SIN
PVG,EWR
LHR,EZE
AMS,GRU
LIM,MEL
JFK,CLT
CAI,MAD
SFO,LAS
BCN,PEK
MEL,DEN
AMS,CBR
CGK,CKG
SDU,ADL
GRU,BKK
AMS,HND
HND,IST
CBR,HGH
BOG,LIM
CAI,HND
JNB,KUL
CGK,NBO
LHR,SHA
PHX,SEA
LAX,MCO
MNL,NBO
BOM,LAS
SCL,CGK
GRU,LIM
LIM,SYD
AMS,ADD
MEL,LAX
HRG,SZX
CBR,PVG
GRU,JFK
HKG,CLT
ADD,BOM
JFK,ICN
AMS,DXB
YYZ,LIM
MNL,SVO
LIM,LAX
EWR,LAS
CPT,CGK
AKL,DEL
MEX,SEA
LHR,ICN
CDG,DMK
CPT,HGH
SEA,IST
BSB,ICN
LOS,MEL
BOG,HKG
HKG,MEL
YYZ,BKK
CMN,SCL
