,ID_start,ID_end,price_tag
0,YYZ,ALG,719.3232473280547
1,YYZ,LOS,858.2169329205043
2,YYZ,TUN,750.6382033193261
3,YYZ,FRA,690.2950238480837
4,YYZ,LGW,647.7846950016217
5,YYZ,LHR,645.4524803312222
6,YYZ,AMS,665.7186164242053
7,YYZ,CPT,1167.0896332183188
8,YYZ,JNB,1200.615045904562
9,YYZ,CMN,678.3525330168723
10,YYZ,ADD,1041.759187851556
11,YYZ,CAI,873.5572001182256
12,YYZ,HRG,892.7514968713965
13,YYZ,BCN,695.203996446998
14,YYZ,MAD,670.556358079497
15,YYZ,CDG,667.8296035927971
16,YYZ,MEX,412.9474527521774
17,YYZ,AKL,1239.7633596276364
18,YYZ,JED,944.9779321061039
19,YYZ,DXB,1009.7826092151154
20,YYZ,TPE,1087.3504434522645
21,YYZ,HND,937.7590307103856
22,YYZ,MNL,1190.1972897730318
23,YYZ,BSB,753.5316191597423
24,YYZ,GRU,816.7885475301862
25,YYZ,SDU,821.9921586411491
26,YYZ,SCL,839.4041502885904
27,YYZ,BOG,524.0889701825009
28,YYZ,CLO,532.8103999247544
29,YYZ,LIM,677.3087115344431
30,YYZ,SVO,762.442631664716
31,YYZ,BOM,1119.4191235204216
32,YYZ,HKG,1123.7973507777738
33,YYZ,DEL,1053.2569187330573
34,YYZ,DMK,1221.1237639123326
35,YYZ,SGN,1245.1597447546378
36,YYZ,CGK,1405.0037223300178
37,YYZ,KUL,1317.054517500611
38,YYZ,SIN,1328.1816959298526
39,YYZ,MEL,1440.0307736149941
40,YYZ,ADL,1469.1807046046492
41,YYZ,CBR,1403.8101091004385
42,YYZ,SYD,1385.7758986178478
43,YYZ,PEK,954.6145935788966
44,YYZ,CAN,1115.4944127259182
45,YYZ,SZX,1121.1515329393173
46,YYZ,XIY,1025.9884457541289
47,YYZ,KMG,1109.4389087758545
48,YYZ,HGH,1046.1261283731244
49,YYZ,SHA,1036.3154008159927
50,YYZ,CKG,1068.0479825133086
51,YYZ,PVG,1035.8370301949876
52,YYZ,BOS,148.05628896536783
53,YYZ,PHX,392.484825359078
54,YYZ,SFO,463.0896171887775
